,SMILES
0,O=C(O)c1ccccc1O
1,N.O=C(O)c1ccccc1O
2,O=C(O)c1c(O)cccc1O
3,Cc1cccc(C(=O)O)c1O
4,O.O=C(O)c1c(O)cc(O)cc1O
5,O=C(O)c1ccc(O)cc1O
6,Cc1ccc(C(=O)O)c(O)c1
7,O=C(O)c1cc(O)ccc1O
8,O=C(O)c1cccc(O)c1O
9,COc1cccc(O)c1C(=O)O
10,O=Cc1ccc(O)c(C(=O)O)c1
11,O=C(O)c1cc2ccccc2cc1O
12,O=C(O)c1ccc2ccccc2c1O
13,Cc1cc(O)cc(O)c1C(=O)O
14,O=C(O)c1ccc(Cl)cc1O
15,O=C(O)c1ccc(F)cc1O
16,Nc1ccc(O)c(C(=O)O)c1
17,O=C(O)c1ccc(O)c(C(=O)O)c1
18,O=C(O)c1cc(O)c(C(=O)O)cc1O
19,O=C(O)c1c(O)ccc(O)c1C(=O)O
20,O=C(O)c1cc(Cl)ccc1O
21,O=C(O)c1ccc2cc(O)c(C(=O)O)cc2c1
22,O=C(O)c1ccc(O)c(O)c1O
23,O=C(O)c1c(O)cccc1F
24,O=C(O)c1cc(Br)ccc1O
25,O=C(O)c1ccc(Br)cc1O
26,Nc1ccc(C(=O)O)c(O)c1
27,O=C(O)c1ccc(I)cc1O
28,O=C(O)c1cc(F)ccc1O
29,O=C(O)c1cccc(F)c1O
30,O=C(O)c1cccc(Br)c1O
31,COc1ccc(O)c(C(=O)O)c1
32,COc1cccc(C(=O)O)c1O
33,O=C(O)c1cc(Cl)cc(Cl)c1O
34,O=C(O)c1cc(Br)cc(Br)c1O
35,O=C(O)c1cc(I)cc(I)c1O
36,O=C(O)c1ccc(C(F)(F)F)cc1O
37,CC(C)(C)c1cc(C(=O)O)c(O)c(C(C)(C)C)c1
38,O=C(O)c1c(Cl)ccc(Cl)c1O
39,O.O=C(O)c1cc(Br)c(O)cc1O
40,COc1ccc(C(=O)O)c(O)c1O
41,O=C(O)c1cc2cc(Br)ccc2cc1O
42,COc1ccc(C(=O)O)c(O)c1OC
43,O=C(O)c1ccc([N+](=O)[O-])cc1O
44,O=C(O)c1cc([N+](=O)[O-])ccc1O
45,O=C(O)c1c(O)c(Cl)cc(Cl)c1Cl
46,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O
47,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
48,O.O.O=C(O)c1cc(S(=O)(=O)O)ccc1O
49,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O
50,CCCCCCCC(=O)c1ccc(O)c(C(=O)O)c1
51,O.O.O=C(O)c1cc(S(=O)(=O)[O-])ccc1O.[Na+]
52,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
53,O=C(O)c1cc2ccccc2c(-c2c(O)c(C(=O)O)cc3ccccc23)c1O
54,O=C(O)c1ccc2c(-c3c(O)c(C(=O)O)cc4cc(C(=O)O)ccc34)c(O)c(C(=O)O)cc2c1
55,O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O
56,N.N.N.O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O
57,CC(O)C(=O)O.COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
58,CC(C)NCc1ccccc1
59,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
60,CN1CCCN=C1/C=C/c1cccs1.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O
61,Oc1cccc2cccnc12
62,O=S(=O)(O)O.Oc1cccc2cccnc12
63,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c1C2=O
64,Nc1nc(N)nc(-c2ccccc2)n1
65,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
66,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.Cl.O.O
67,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.O.O.O=S(=O)(O)O
68,Cl.Cl.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
69,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
70,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
71,CN(C)c1ccc([N+]#N)cc1.F[B-](F)(F)F
72,CN(C)c1ccc([N+]#N)cc1.Cl[Zn-](Cl)Cl
73,Cc1cc(=O)n(-c2ccccc2)n1C
74,CCO.C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl.Cl.O
75,C=C(OP(=O)(O)O)C(=O)O.NC1CCCCC1.NC1CCCCC1.NC1CCCCC1
76,NC1CCCCC1.Sc1nc2ccccc2s1
77,Cn1c(=O)c2c(ncn2C)n(C)c1=O
78,Cn1c(=O)c2c(ncn2C)n(C)c1=O.O
79,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
80,NCCCC[C@H](N)C(=O)O
81,NCCCC[C@H](N)C(=O)O.O
82,Cl.Cl.NCCCC[C@H](N)C(=O)O
83,Cl.NCCCC[C@H](N)C(=O)O
84,CC(=O)O.NCCCC[C@H](N)C(=O)O
85,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O
86,NC1CCCCC1
87,Cl.NC1CCCCC1
88,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
89,C1N2CN3CN1CN(C2)C3
90,CCCCCCCCCCCCCCCCCCN
